grade_distributions.A-,code,grade_distributions.NC,grade_distributions.A+,grade_distributions.B,grade_distributions.C+,grade_distributions.D-,grade_distributions.A,grade_distributions.F,grade_distributions.D,grade_distributions.C-,grade_distributions.CR,grade_distributions.B+,grade_distributions.C,grade_distributions.D+,grade_distributions.B-
0,ANES 399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,ANTHRO 1,0,6,17,4,1,50,0,1,0,5,19,3,1,5
1,ANTHRO 1S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ANTHRO 3,0,2,5,0,0,4,0,0,0,1,2,0,0,0
4,ANTHRO 4,0,1,0,0,0,4,0,0,0,0,0,0,0,0
2,ANTHRO 6,0,1,2,0,0,5,0,1,0,1,2,0,0,2
,ANTHRO 10A,,,,,,,,,,,,,,
,ANTHRO 10SC,,,,,,,,,,,,,,
,ANTHRO 11SC,,,,,,,,,,,,,,
1,ANTHRO 12,1,0,0,0,0,3,0,0,0,0,0,0,0,0
0,ANTHRO 12SC,0,0,1,0,0,3,0,0,0,0,1,0,0,0
,ANTHRO 13A,,,,,,,,,,,,,,
,ANTHRO 13SI,,,,,,,,,,,,,,
1,ANTHRO 14,0,0,1,0,0,3,0,0,0,0,0,0,0,0
42,ANTHRO 15,0,1,14,4,0,32,0,0,2,1,23,0,0,8
2,ANTHRO 16,0,0,0,0,0,12,0,0,0,0,0,0,0,0
0,ANTHRO 19Q,0,1,0,0,0,9,0,0,0,0,0,0,0,0
,ANTHRO 21N,,,,,,,,,,,,,,
10,ANTHRO 22,0,1,3,0,0,18,0,0,0,0,5,0,0,0
0,ANTHRO 22N,0,1,1,0,0,11,0,0,0,0,0,0,0,0
,ANTHRO 23N,,,,,,,,,,,,,,
,ANTHRO 24N,,,,,,,,,,,,,,
2,ANTHRO 25N,0,3,0,0,0,10,0,0,0,0,0,0,0,0
,ANTHRO 26N,,,,,,,,,,,,,,
,ANTHRO 27N,,,,,,,,,,,,,,
,ANTHRO 28N,,,,,,,,,,,,,,
0,ANTHRO 30Q,0,1,0,0,0,2,0,0,0,0,0,0,0,0
